构建/打造,build
部署,deploy
触发,trigger
提交,submit
执行,execute
生成,generate
操作,operate
复制,copy
复用,reuse
查询,query
更新,update
编辑/变更,edit
迁移,migrate
合并/融合,merge
宣贯,publicise
实施,implement
开发,develop
同步,synchronise
异步,async
提效,improve efficiency
校验,check
标记,mark
点此,click
置,set
注入,inject
插入,insert
监控/监测,monitor
采集,collect
评估,evaluate
搭建- setup
调研,investigate
探查,explore
咨询,consult
纳入,incorporate
识别/鉴定,identify
预实/预估/估计,estimate
覆盖,cover
审批,approve
验证,validate
开启,enable
抽象,abstract
涨,rise
沉淀,precipitate
编译,compile
登陆,login
归档,archive
意味,mean
分类,categorise
归类,classify
汇报,report
输出,export
审核,review
筹备,prepare

缩短,shorten
覆盖,overwrite
回滚,rollback
删除,delete
剔除,cull
筛选/过滤,filter
驳回,reject
延迟/延期,delay
拆分,split up
损坏,damage
裁剪,clip
降级,degrade
挖掘,dig
召回,recall
琢磨,ponder 
瞅,look
驱逐,expel
拦截,intercept
排斥,exclude
耽误,delay