점원,Store Assistant
배우,actor
얇다,thin (not people)
적당하다,moderate
속삭이다,to whisper
목,Neck
소리,Sound
목소리,Voice (ㅁ...)
복습하다,to review
층,Floor
바꾸다,to change (not 변...)
신청,Application
유학,Study Abroad
꽤,fairly
의미,meaning (ㅇ...)
그때,that time
상황,Situation
넘어지다,to fall
어리다,young
입다,to put on clothes
닭,Chicken
기쁘다,glad
열심히,diligently
독서하다,to read (only used when talking about reading books)
문장,Sentence
기름,Oil
출발하다,to depart
몇,some/few (article placed before a counter)
그들,Them
마시다,to drink
내리다,"to get off, go down, come down"
나오다,to come out
나가다,to go out
때,time (when)
쪽,Direction (ㅉ...)
생활,Lifestyle
쓰다,to write
모르다,to not know
완전히,perfectly
사다,to buy
팔다,to sell