동생,younger sibling
남동생,younger brother
여동생,younger sister
형,older bro (male speaker)
오빠,older bro (F speaker)
누나,older sis (male speaker)
언니,older sis (F speaker)
삼촌,uncle
이모,aunt (maternal)
고모,aunt (paternal)
아저씨,older man nt related to u
아주머니,older woman (4 syllables)
할아버지,grandfather
할머니,grandmother
친구,friend
사진,picture
안경,glasses
비밀,secret
비,rain
가게,"store, shop"
꼬리,tail
박물관,museum
가스 레인지,stove (gas range)
오리,duck
기대하다,to expect
건너다,to cross (a road)
던지다,to throw
싫어하다,to not like
떠나다,to leave
농담하다,to joke
지루하다,to be boring (ㅈ...)
마르다,to be too thin (person)
멀다,to be far away
마르다,to be dry
비슷하다,to be similar
싫다,to not be good
오래되다,to be old (an object to be old) (오...)
배고프다,to be hungry
년,year
일,day
오늘,Today
월요일,Monday
화요일,Tuesday
수요일,Wednesday
목요일,Thursday
금요일,Friday
토요일,Saturday
일요일,Sunday
어제,yesterday
내일,tomorrow
모레,day after tomorrow
시간,time
공부하다,to study
공,ball