되다,to be/become
공장,factory
열,fever
시작하다,to start
극장,theater
회사,company
모기,mosquito
간판,sign
직업,job
부끄럽다,to be shy
수업,class (two syllables)
행동하다,to act
고기,meat
돼지,pig
돼지고기,pork
소,cow
소고기,beef
소개하다,to introduce
발견하다,"to discover, to find (ᄇ...)"
방문하다,to visit
잃다,to lose (sth) (2 syllables)
잃어버리다,to lose (sth) (5 syllables)
돈,money
벗다,to take off clothes
꽃,flowers
값,price (one syllable)
건강하다,to be healthy
예쁘다,to be pretty
땅콩,peanut
축구,soccer
야구,baseball
여권,passport
수건,towel
미래,future
체육,physical education
지하철,subway (three syllables)
웃다,to laugh
이제,now (not 지...)
현재,"present, now"
장소,"place, location (ㅈ...)"