소방서,Fire Station
무릎,Knee
얼음,Ice
흡연,Smoking
종아리,Calf
관리비,Management Fees
치료비,Medical Fees
보관료,Storage Fees
땅값,Land Prices
입장료,Entrance Fees
등록금,Tuition, Registration Fees
교통비,Transportation Fees
원룸,Studio Apartment
화장,Makeup
소방,Firefighting
초등학교,Elementary School
첫차,"First Bus, First Car"
가격표,Price Tag
여우,Fox
의욕,Drive, Motivation
이사하다,To Move Houses
귀국하다,To Return to One's Home Country
터지다,To Explode
기대다,To Lean Against
얻다,To Gain
임신하다,To Get Pregnant
보이다,To Be Seen
들리다,To Be Heard
일방적이다,To Be One Sided
짜다,To Be Salty