오줌,urine
권력,"power, authority"
수준,"level, standard"
학력,level of education
직원,"employee, staff member"
허가,permission
보안,security
시선,"one's eyes, one's eye-line"
물체,object (ㅁ...ㅊ...)
수고하다,to work hard
말다,to not do (ㅁ...)
직진하다,to go straight
올라가다,to go up
올라오다,to come up
올려다보다,to look up
후들거리다,"to shake, to tremble (후...)"
남용하다,to abuse
감시하다,"to monitor, to watch"
부끄러워하다,to be shy
슬퍼하다,to be sad
동등하다,to be equal
유쾌하다",to be pleasant, to be delightful, to be enjoyable"
온순하다,to be gentle
먼저,first/in advance (not ㅇ...)
오른,right (ㅇ...)
왼,left (ㅇ...)
가만히,"to be still, to be motionless"
줄곧,continuously/constantly