싸움,a fight
기쁨,"happiness, gladness"
도움,help
걸음,a step
죽음,death
느낌,a feeling (ㄴ...)
행정,administration
구역,zone, area
보행자,pedestrian
좌석,seat
사전,dictionary
언어,language
국어,the Korean language (ㄱ...)
노동자,laborer
음악가,musician
능력,capabilities
자료,data
제품,products
사업,business
감정,emotion
쌀,uncooked rice
방송,broadcast
접시,plate
역할,role
정보,information
모양,shape
마을,"village, town"
합법,legal
불법,illegal
효과,effects
순간,"moment, second"
확대하다,"to expand, enlarge"
검색하다,"to search, browse, surf the internet (ㄱ...)"
훔치다,to steal
즐기다,to enjoy oneself
변하다,to have changed
붙이다,"to stick, stamp, label, attach"
쳐다보다,to stare
모이다,"to gather, to congregate"
낳다,to give birth
넘다,"to cross over, climb over"
주차하다,to park a car
보호하다,protect (ㅂ...)
표현하다,to express
붙다,to be stuck
현대,modern times
직접,directly
스스로,"for oneself, by oneself"