미소,smile
배달,delivery
반지,ring
입술,lips
미술,art (NOT 예술)
목걸이,necklace
귀걸이,earrings
수영복,bathing suit
간식,snacks
목표,goal
숲,forest
주머니,pocket
칠판,"blackboard, chalkboard"
딸기,strawberry
상추,lettuce
공사,construction
교시,class, period
종교,religion
시청,city hall
어울리다,to get along with
알리다,"to tell, to inform"
아끼다,"to cherish, to save"
남기다,to leave something
면도하다,to shave
빌리다,"to borrow, to lend"
샤워하다,to shower
덮다,to cover
없어지다,to disappear
따라가다,to follow
따라오다,to be followed
지나가다,to go and pass by
키우다,"to raise, to train, to develop (ㅋ...)"
참다,"to hold back, to endure"
선택하다,to choose (ㅅ...)
쓰이다,to be written on
부럽다,to be envious
긍정적이다,to be positive
부정적이다,to be negative
식,"a certain way, method (ㅅ...)"
동갑,same age
아까,earlier
꽉,tightly
깨닫다,to realize