향기,good smell/fragrance
생계,life/living
똥,poo
재산,wealth/fortune
위원회,committee
암내,smelly armpits
남녀,men and women/couple
새,bird
사장,boss of company
결심(하다),decision (decide)
동사,verb
명사,noun
형용사,adjective
부사,adverb
안내(하다),guidance (guide)
태우다,pick up/take on (in a vehicle)
태우다,to burn something
교정하다,correct/emend a mistake
다녀가다,stop in (come then go back)
의도하다,intend
노엽다,to be angry
허전하다,empty/missing something
합당하다,reasonable
간신히,barely
단계적으로,step by step/phased in
모르게,without knowing/realizing it
정시,a set time
때마침,just in time
일반적으로,usually
즉시,immediately