떼,some crowd or “school” of things
장롱,wardrobe (closet not built into wall)
피망,bell pepper
개념,"concept, idea"
문어,octopus
폭력,violence
동전,coin
조끼,vest
전등,lamp, light
손전등,flashlight
태평양,the Pacific Ocean
제삼자,a third party
승용차,passenger car
잠자리,dragonfly
거미줄,spider web
지팡이,"walking stick, cane"
잡히다,to be caught
인식하다,to recognize
일광욕하다,to sunbathe
반납하다,to return something that one borrowed
설치하다,"to install, to equip"
입양하다,to adopt
변장하다,to disguise
봐주다,to let somebody off the hook
파산하다,to go bankrupt
지정하다,to designate
지저분하다,"to be messy, untidy"